,Address,Amenities,description,price
0,"Lovojo Estate Lekki Schemes 2, Ajah",4 4,4 Units Of 4 Bedroom Terraces Smart House,"N45,000,000"
1,"Ogombo Road; Opposite Urban Prime Three, Abraham Adesanya, Ajah",3 3,Classic 3 Bedroom Terrace House,"N55,000,000"
2,"Ajiwe Bus Stop, By Abraham Adesanya Roundabout, Lekki-Epe Expressway, Ajah",2 2,Lovely 2 & 3 Terrace Duplex With Bq,"N38,000,000"
3,"Lavadia Series 2, Ogombo, Ajah",3 3,3 Bedroom Terrace + Standard Bq,"N65,000,000"
4,"Banana Island, Ikoyi, Banana Island, Ikoyi",7 7 320 m² 600 m²,Luxuriously Built Waterfront Detached Home For Sale,"N850,000,000"
5,"Off Bourdilion, Ikoyi","4 4 500 m² 1,200 m²",4 Bedroom Terraced Townhouse Duplex,"N240,000,000"
6,"Banana Island Estate, Banana Island, Ikoyi","7 8 8 1,240 m²",Direct & Serious Buyers Only! Prince Ademola Osinuga Best Newly Custom Built Automated Mansion In Banana Island @$5.5M,"N2,500,000,000"
7,"By Gerrard Ikoyi Lagos , Ikoyi",6 6 600 m² 600 m²,Super Lexury 6Bedroom Detached Duplex With Swimming Pool,"N580,000,000"
8,"Banana Island, Ikoyi",6 6 1 m² 1 m²,Newly Built 6 Bedroom Detached House with An elevator,"N1,400,000,000"
9,"Banana Island, Ikoyi",5 5,Super Luxury 5 Bedroom detached house with BQ,"N520,000,000"
10,"Osborne Ikoyi, Ikoyi",4 4 1 m² 1 m²,Spacious 4 Bedroom Terraced Duplex,"N160,000,000"
11,"Banana Island, Ikoyi",3 4,32 numbers of 3 bedroom flats with 1 room boys quarters.,"N170,000,000"
12,"Banana Island Estate, Banana Island, Ikoyi",5 5,Direct Buyers Only - Fresh Newly Built 5 Bedroom Detached House +Elevator Etc In A Mini Estate Within Banana Island,"N550,000,000"
13,"Central Ikoyi, Ikoyi",5 5 2,Direct Cash Ready Buyers Only - Newly Built 5 Bedroom Maisonette On 2 Floors @N600m,"N600,000,000"
14,"Oniru Victoria Island Lagos, Oniru, Victoria Island",5 5,Massive 5bedroom detached house with a room bq for sale,"N235,000,000"
15,"Chevron Drive, Lekki",5 6 650 m²,5 Bedroom Fully Detached Duplex in Chevron,"N75,000,000"
16,"Berra Estate, Chevron Drive, Lekki",5 5 3 400 m²,Fabulous 5 bedroom detached duplex,"N135,000,000"
17,"Chevron Tollgate, Chevron Drive, Lekki",5 5,Massive 5 Bedroom Detached Duplex,"N70,000,000"
18,"Lekki Scheme 2, Ajah, Lekki Phase 2, Lekki",6 7 200 m² 500 m²,Magnificently Newly Completed Five Bedroom Detached Duplex With A Room Bq And Gate House,"N55,000,000"
19,"Orchid Hotel Road, Chevron Drive, Lekki",4 4,Brand New 4 Bedroom Terrace House,"N50,000,000"
20,"Lekki, Ikota, Lekki",4 4,4 Bedroom Terrace Duplex,"N47,000,000"
21,"Pinnock, Osapa, Osapa, Lekki",5 5,Fabulous 5 Bedroom Detached Duplex With Bq,"N300,000,000"
22,"Lekki Phase 1, Lekki",4 4,Luxury 4 Bedroom Semi Detached Duplex With Bq,"N250,000,000"
23,"Ikota, Lekki",4 4,Spacious 4 Bedroom Semi Detached Duplex With Bq,"N75,000,000"
24,"Kusenla, Ikate Elegushi, Lekki",4 5 200 m² 250 m²,4 bedroom detached duplex with pent area and BQ,"N135,000,000"
25,"Royal Garden Estate, Lekki Expressway, Lekki",5 6 500 m² 750 m²,Immaculate 5 Bedroom Pool House,"N140,000,000"
26,"Idado Lekki Estate Before Chevron Headoffice, Idado, Lekki",5 5,Spacious 5 Bedroom Terrace Houses With Bq,"N70,000,000"
27,Ajah,3 4,Newly built 3 bedroom Terraced duplex with 24 hours power supply,"N45,000,000"
28,"Idado, Lekki",5 5,Luxury 5 Bedroom Detached Duplex For Sale In Idado,"N130,000,000"
29,"Thomas Estate, Ajah",4 4,4 Bedroom Detached Duplex + 1 BQ,"N65,000,000"
30,"Thomas Estate, Ajah",4 3,4 Bedroom Detached Duplex,"N65,000,000"
31,"Thomas Estate, Ajah",5 5,5 Bedroom Detached Duplex,"N65,000,000"
32,"Thomas Estate, Ajah",4 4,4 Bedroom Detached Duplex with a BQ,"N65,000,000"
33,"Thomas Estate, Ajah",3 2,Newly Built 3 Bedroom Bungalow with BQ,"N44,000,000"
34,"Palace Road, Oniru, Victoria Island",4 4,10 Units Of Luxury 4Bedroom Fully Detached Duplexes,"N175,000,000"
35,"Lekky County , Lekki Expressway, Lekki",5 6,Beautiful Fully Detached Duplex,"N90,000,000"
36,"Ikate , Ikate Elegushi, Lekki",5 5,5 bedroom detached duplex with BQ,"N180,000,000"
37,"Ikate, Ikate Elegushi, Lekki",5 5,Humongous 5 Bedroom Fully Detached Duplex With Bq,"N180,000,000"
38,"Ikate, Ikate Elegushi, Lekki",4 4,Humongous 4 Bedroom Fully Detached Duplex With A Domestic Room,"N125,000,000"
39,"Lekki Phase 1, Lekki",5 5,Super 5 Bedroom Detached Duplex,"N275,000,000"
40,"Banana Island, Ikoyi",4 4,Fully Furnished 4 Bedroom Terrace With A Room BQ For Sale In Banana island,"N260,000,000"
41,"Ikate , Ikate Elegushi, Lekki",5 5,5 bedroom semi-detached duplex,"N78,000,000"
42,Ajah,5 5,Fabulous 5 Bedroom Detached Duplex,"N85,000,000"
43,"Gra, Ikota, Lekki",4 5,Newly Built 4 Bedroom Detached Duplex With Bq For Sale,"N80,000,000"
44,"2Nd Toll Gate, Chevron Drive, Lekki",4 4,4 Bedroom Fully Detached Duplex With Bq,"N65,000,000"
45,"Parkview, Parkview Estate, Ikoyi",4 4 4,Direct & Cash Ready Buyers Only - Fresh Fully Detached House + Rooftop Louge + Bq Etc In Parkview @N350m Net,"N350,000,000"
46,Ikoyi,6 6,"6 Bedroom Fully Detached Duplex with Swimming Pool, Cinema, Gym, Elevator and lots more","N1,400,000,000"
47,"Coleman Nwafor Street Off Orchid Road By Lekki Tollgate, Lekki Phase 2, Lekki",4 4,A Fully Serviced 4Bedroom Terrace House With A Swimming On Coleman Nwafor Street On Orchid Road By Chevron Tollgate Lek,"N50,000,000"
48,"Chevron, Lekki Expressway, Lekki",5 5,5 Bedroom Fully Detached Duplex + Bq,"N100,000,000"
49,Ajah,4 4,4 Bedroom Detached Duplex,"N75,000,000"
50,"Royal Garden Estate, Lekki Expressway, Lekki",5 6 500 m² 750 m²,Immaculate 5 Bedroom Pool House,"N140,000,000"
51,"Idado Lekki Estate Before Chevron Headoffice, Idado, Lekki",5 5,Spacious 5 Bedroom Terrace Houses With Bq,"N70,000,000"
52,Ajah,3 4,Newly built 3 bedroom Terraced duplex with 24 hours power supply,"N45,000,000"
53,"Idado, Lekki",5 5,Luxury 5 Bedroom Detached Duplex For Sale In Idado,"N130,000,000"
54,"Thomas Estate, Ajah",4 4,4 Bedroom Detached Duplex + 1 BQ,"N65,000,000"
55,"Thomas Estate, Ajah",4 3,4 Bedroom Detached Duplex,"N65,000,000"
56,"Thomas Estate, Ajah",5 5,5 Bedroom Detached Duplex,"N65,000,000"
57,"Thomas Estate, Ajah",4 4,4 Bedroom Detached Duplex with a BQ,"N65,000,000"
